1.,http://product.dangdang.com/23356805.html,汉声数学图画书（全41册+妈妈手册）,明德尔西托默,2013-10-21,贵州人民出版社,61422条评论
2.,http://product.dangdang.com/23219914.html,数学帮帮忙（全25册）多功能数学绘本,达芙妮・斯金纳,2013-04-01,新蕾出版社,180572条评论
3.,http://product.dangdang.com/25081450.html,魔法拼音国（套装 共7册）,姜自霞,2017-05-01,浙江少年儿童出版社,188666条评论
4.,http://product.dangdang.com/22732944.html,你好！数学套装珍藏版（套装30本）,申惠恩,2012-04-01,湖北少儿出版社,71570条评论
5.,http://product.dangdang.com/23470966.html,365个艺术创意（全3册）,菲欧娜,2014-05-01,光明日报出版社,52719条评论
6.,http://product.dangdang.com/23415182.html,不用说，孩子就会听――歪歪兔逆反期教育系列图画书（全8册）,歪歪兔关键期早教项目组,2014-03-01,海豚出版社,167811条评论
7.,http://product.dangdang.com/22914275.html,走进奇妙的数学世界（全3册）,安野光雅,2013-01-01,新星出版社,168327条评论
8.,http://product.dangdang.com/23174548.html,独一无二的你+勇敢做自己,克兰兹,2013-02-01,北京科学技术出版社,169135条评论
9.,http://product.dangdang.com/23174150.html,东方儿童性教育绘本（全3册）,郑智泳,2013-01-01,北京理工大学出版社,83079条评论
10.,http://product.dangdang.com/23732570.html,我的大画本（全3册）,乔斯夫托普森,2015-07-01,陕西人民教育出版社,71696条评论
11.,http://product.dangdang.com/25083136.html,学会管自己幼儿版-歪歪兔自控力教育系列绘本,歪歪兔关键期早教项目组,2017-06-01,海豚出版社,74679条评论
12.,http://product.dangdang.com/22544181.html,"歪歪兔儿童性关怀系列图画书（全8册,儿童性教育主题绘本）",歪歪兔关键期早教项目组,2012-01-01,海豚出版社,90127条评论
13.,http://product.dangdang.com/22883482.html,做内心强大的自己――歪歪兔逆商教育系列图画书（挫折教育绘本全10册）,歪歪兔关键期早教项目组,2012-10-01,海豚出版社,216350条评论
14.,http://product.dangdang.com/22667891.html,做最好的自己――歪歪兔性格教育系列图画书（全10册）,歪歪兔关键期早教项目组,2012-06-01,海豚出版社,160657条评论
15.,http://product.dangdang.com/23700790.html,培养孩子强大内心―亲子情商教育系列（全6册）,木头人儿童创想中心,2015-05-01,中国人口出版社,112993条评论
16.,http://product.dangdang.com/22930500.html,小快活卡由-幼儿逆反期行为管理贴心故事（全12册）,加拿大舒爱特出版股份有限公司,2013-01-01,人民邮电出版社,46471条评论
17.,http://product.dangdang.com/24021132.html,团结伙伴一起解决问题（歪歪兔领导力教育系列图画书，全10册）,歪歪兔关键期早教项目组,2016-10-01,海豚出版社,21150条评论
18.,http://product.dangdang.com/22475905.html,长大我最棒系列（全15册，享誉欧美的儿童心理读本，打造孩子健全人格！）,谢利・J・梅纳斯,2011-08-01,未来出版社,77017条评论
19.,http://product.dangdang.com/25141667.html,陪孩子读古诗词（精装，4册套装，含配乐朗诵）,廉萍,2017-09-01,中国少年儿童出版社,47218条评论
20.,http://product.dangdang.com/25123131.html,歪歪兔全情商教育绘本全集（礼品装，全8套共78册，随机赠限量版“歪歪兔、乖乖羊、威威龙”中的一个玩偶）,歪歪兔关键期早教项目组,2017-08-01,海豚出版社,5371条评论
21.,http://product.dangdang.com/23449195.html,成长不烦恼（全20册）,美国心理学会,2014-05-01,化学工业出版社,32097条评论
22.,http://product.dangdang.com/23536180.html,变形警车珀利―我的第一套交通安全故事（套装共24册）,VISUAL,2014-08-01,人民邮电出版社,16501条评论
23.,http://product.dangdang.com/23468748.html,儿童艺术博物馆：和孩子一起欣赏世界名画,克莱尔,2014-06-01,人民美术出版社,23522条评论
24.,http://product.dangdang.com/23335201.html,做最受欢迎的自己――歪歪兔社会交往系列图画书（全10册）,歪歪兔关键期早教项目组,2013-10-01,海豚出版社,70152条评论
25.,http://product.dangdang.com/9236611.html,阶梯数学・5岁 （共5册）,朱慧兰,2006-10-01,北京科学技术出版社,92300条评论
26.,http://product.dangdang.com/9261644.html,阶梯数学・4岁 （共5册）,朱慧兰,2006-10-01,北京科学技术出版社,101560条评论
27.,http://product.dangdang.com/23465123.html,天天游戏力(第1、2合辑，全18册）,李岩,2013-06-01,中国人口出版社,19606条评论
28.,http://product.dangdang.com/23437495.html,儿童古典音乐绘本（第一、二合辑，共16册）,马科希姆萨,2014-04-01,北京科学技术出版社,10463条评论
29.,http://product.dangdang.com/22888268.html,做最好的自己――歪歪兔系列图画书礼品装（全5套48册）,歪歪兔关键期早教项目组,2012-10-01,海豚出版社,12094条评论
